date_utc_mnt,group,DAU
2024-01-01,Mobile,920000
2024-01-02,Mobile,954000
2024-01-03,Mobile,979000
2024-01-04,Mobile,1010000
2024-01-05,Mobile,1023000
2024-01-06,Mobile,1067000
2024-01-07,Mobile,907000
2024-01-08,Mobile,906000
2024-01-09,Mobile,984000
2024-01-10,Mobile,1045000
2024-01-11,Mobile,994000
2024-01-12,Mobile,1068000
2024-01-13,Mobile,998000
2024-01-14,Mobile,911000
2024-01-01,Web,27804000
2024-01-02,Web,25592000
2024-01-03,Web,30212000
2024-01-04,Web,27020000
2024-01-05,Web,25564000
2024-01-06,Web,26740000
2024-01-07,Web,29652000
2024-01-08,Web,28112000
2024-01-09,Web,25396000
2024-01-10,Web,26152000
2024-01-11,Web,26404000
2024-01-12,Web,27412000
2024-01-13,Web,25312000
2024-01-14,Web,29568000
